source	store	clip_id	role	bank	flags	context	description	verdict
corpus_calibration	certified_139	corpus_A_92	A	corpus	class_word:wave	…k rocks in front of a large, cresting ocean «wave»	A woman in a form-fitting, light green metallic dress stands with her arms crossed on dark rocks in front of a large, cresting ocean wave	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_119	A	corpus	class_word:set	…aring a pink jacket over a dark sports bra, «set» against a background of green trees and a b…	A young Asian woman with her dark hair in a ponytail runs along a paved path wearing a pink jacket over a dark sports bra, set against a background of green trees and a blurred city skyline under warm golden light	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_130	A	corpus	class_word:water	A green glass bottle labeled "Kahf" with «water» droplets on its surface is framed by pieces…	A green glass bottle labeled "Kahf" with water droplets on its surface is framed by pieces of mossy driftwood against a dark teal background	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_135	A	corpus	class_word:set	…rt with white embroidered text on the hood, «set» against a plain grey background under soft …	A young person with short curly dark hair looks upward while wearing a bright coral-red hooded sweatshirt with white embroidered text on the hood, set against a plain grey background under soft studio lighting	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_136	A	corpus	class_word:water	…ess sits in a wooden boat on a calm body of «water», with a duck swimming nearby and a classica…	A woman with slicked-back hair wearing a high-necked, long-sleeved white dress sits in a wooden boat on a calm body of water, with a duck swimming nearby and a classical white building reflected in the background under soft, natural light	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_A_137	A	corpus	shader_escape:box	… and white sneakers sits on a green utility «box» on a sunny city sidewalk while holding a ph…	A young Black man wearing a blue denim jacket, matching jeans, and white sneakers sits on a green utility box on a sunny city sidewalk while holding a phone to his ear, with pedestrians and a storefront with a red awning in the background	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_7	B	corpus	class_word:cloud	…ed hands, staring into the camera beneath a «cloud»-streaked blue sky	a woman with long windblown dark curls in a fluffy black coat, crouched low in tall grass with her chin resting on folded hands, staring into the camera beneath a cloud-streaked blue sky	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_12	B	corpus	class_word:giant	the sunflower field with a «giant» hand making a peace sign above the hedge	the sunflower field with a giant hand making a peace sign above the hedge	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_19	B	corpus	class_word:air,class_word:set	…xtended in the foreground on a rooftop with «air» conditioning units, a large tank, and an an… | …ioning units, a large tank, and an antenna, «set» against a city skyline during sunset	a person's arm and clenched fist wearing a black wristband are extended in the foreground on a rooftop with air conditioning units, a large tank, and an antenna, set against a city skyline during sunset	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_20	B	corpus	class_word:air	…y jacket and dark pants is suspended in mid-«air» between tall buildings under an overcast sk…	in a high-angle view looking down a city street, a fist in a suit sleeve is extended in the foreground while a person wearing a grey jacket and dark pants is suspended in mid-air between tall buildings under an overcast sky	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_27	B	corpus	shader_escape:doorway	…brown monogrammed tote bag, standing in the «doorway» of a modern house	a woman with curly hair and glasses, wearing a navy suit over a white patterned shirt and holding a brown monogrammed tote bag, standing in the doorway of a modern house	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_28	B	corpus	class_word:fire	…en skull, standing inside a burning ring of «fire» in a rocky desert under a starry night sky	a person in a dark hoodie and camouflage trousers holding a tall black pirate flag with a golden skull, standing inside a burning ring of fire in a rocky desert under a starry night sky	SCENE_CONTENT (keep)
corpus_calibration	certified_139	corpus_B_29	B	corpus	class_word:color	… curly afro and blue-tinted sunglasses in a «color»-blocked denim jacket crouching atop a stone…	a person with a voluminous curly afro and blue-tinted sunglasses in a color-blocked denim jacket crouching atop a stone ledge against a brilliant blue sky, one hand planted near the low camera	SCENE_CONTENT (keep)
new	pilot_m3	davis_horsejump-high	A	synth_endpoints	class_word:jump	…an outdoor arena surrounded by white wooden «jump» barriers under a sunny sky	A female equestrian rider wearing a blue helmet and white pants rides a brown horse in an outdoor arena surrounded by white wooden jump barriers under a sunny sky	
new	pilot_m3	davis_mbike-trick	A	synth_endpoints	class_word:smoke,shader_escape:burn	…helmet performs a burnout, generating white «smoke» on an asphalt track marked with tire burn m… | …orcyclist wearing a white helmet performs a «burnout», generating white smoke on an asphalt track…	A motorcyclist wearing a white helmet performs a burnout, generating white smoke on an asphalt track marked with tire burn marks under a cloudy sky	
new	pilot_m3	davis_mbike-trick	B	synth_endpoints	class_word:cloud,class_word:smoke	…oing a burnout on asphalt, creating a large «cloud» of thick white smoke behind the rear tire u… | …halt, creating a large cloud of thick white «smoke» behind the rear tire under an overcast sky	a man in a white t-shirt, black pants, and gloves sitting on a green motorcycle while doing a burnout on asphalt, creating a large cloud of thick white smoke behind the rear tire under an overcast sky	
new	pilot_m3	humanvid_3805742	A	humanvid	class_word:smoke	…rt sits in profile as he exhales a plume of «smoke», bathed in warm, soft sunlight indoors with…	A middle-aged man with messy gray hair and a dark shirt sits in profile as he exhales a plume of smoke, bathed in warm, soft sunlight indoors with wooden structures blurred in the background	
new	pilot_m3	humanvid_5192078	B	humanvid	class_word:water	… him and looking to the side beside a glass «water» bottle under bright natural daylight	a young man in a light yellow t-shirt and black athletic shorts sitting on a reddish outdoor running track, resting his arm behind him and looking to the side beside a glass water bottle under bright natural daylight	
new	pilot_m3	humanvid_7235992	B	humanvid	class_word:bending	… hair in a black tank top and dark leggings «bending» forward and moving her arms during an exerc…	a woman with curly hair in a black tank top and dark leggings bending forward and moving her arms during an exercise routine in a garden setting filled with lush green tropical plants and a large red ball	
new	pilot_m3	humanvid_8090682	A	humanvid	class_word:set	…a white hoodie and short skirt walks down a «set» of white wooden stairs with a white railing…	A woman in a white hoodie and short skirt walks down a set of white wooden stairs with a white railing in a brightly lit indoor space with framed pictures on the wall in the background	
new	pilot_m3	humanvid_8376542	B	humanvid	class_word:seamless	…cushions in blue, pink, and green against a «seamless» background	a young man in yellow pajamas dancing playfully in a bright white room, stepping between colorful floor cushions in blue, pink, and green against a seamless background	
new	pilot_m3	humanvid_8405739	B	humanvid	class_word:bending	… and a grey headband wearing a blue t-shirt «bending» forward while walking on a sandy beach line…	a young man with curly hair and a grey headband wearing a blue t-shirt bending forward while walking on a sandy beach lined with dark rocks	
new	pilot_m3	humanvid_9039061	A	humanvid	class_word:water	…ose-up shot against a blurred background of «water» and buildings	A blonde woman in a light brown t-shirt and white pants sits outdoors with her eyes closed, framed in a close-up shot against a blurred background of water and buildings	
new	pilot_m3	humanvid_9039061	B	humanvid	class_word:water	…ght hand while seated beside a calm body of «water»	a blonde young woman with her hair loose in a beige short-sleeve t-shirt and light-colored pants sitting cross-legged outdoors in a soft overcast light, gesturing with her right hand while seated beside a calm body of water	
new	pilot_m3	humanvid_9065027	B	humanvid	class_word:bending	…red woman in glasses and a black floral top «bending» down to place a printed paper on a clipboar…	a fair-haired woman in glasses and a black floral top bending down to place a printed paper on a clipboard in a bright indoor setting	
new	pilot_m3	humanvid_9807743	A	humanvid	shader_escape:static	…f a wooden wall and a television displaying «static» in a dimly lit room	A young man with dark hair pulled back in a ponytail sits with his head lowered in front of a wooden wall and a television displaying static in a dimly lit room	
new	pilot_m3	humanvid_9807743	B	humanvid	shader_escape:static	…ing television screen behind him displaying «static»	a man with dark hair pulled back in a ponytail sitting in a dark room with a glowing television screen behind him displaying static	
new	pilot_m3	openvid_SyGOidmxV_E_4_0to163	A	synth_endpoints	class_word:water	…an in a pink top on a sunny beach with blue «water»	A young man with short brown hair, wearing a white patterned short-sleeved button-down shirt, holds a microphone near a woman in a pink top on a sunny beach with blue water	
new	pilot_m3	openvid_XFSw6t7SP00_79_0to109	B	synth_endpoints	drift:shifting	a close-up shot of a hand «shifting» an automatic gear selector in a modern car …	a close-up shot of a hand shifting an automatic gear selector in a modern car interior with light gray console trim and a start engine button nearby	
new	pilot_m3	openvid__nLdQ5vZP5c_6_0to148	A	synth_endpoints	class_word:water	… a balcony with a modern glass building and «water» in the background	A bearded man wearing a dark flat cap, a red shirt, and a blue Columbia puffer jacket stands outdoors on a balcony with a modern glass building and water in the background	
new	pilot_m3	openvid__nLdQ5vZP5c_6_0to148	B	synth_endpoints	class_word:water	… plaza, with a glass building and a body of «water» under hazy daylight in the background	a man in a dark flat cap and blue zip-up jacket gesturing with his hand outdoors on a paved plaza, with a glass building and a body of water under hazy daylight in the background	
new	pilot_m3	openvid__oppseM4TZU_0_0to176	B	synth_endpoints	class_word:set	…hest while talking on a brightly lit studio «set» with a city backdrop	a man with short brown hair in a dark suit jacket and patterned tie, holding his hands clasped together near his chest while talking on a brightly lit studio set with a city backdrop	
new	pilot_m3	openvid__qbsmhHO950_5_121to392	A	synth_endpoints	class_word:illustration	…gainst a black background with a white tree «illustration»	A woman with long reddish-brown hair in a side braid, wearing black glasses and a short-sleeved top with a pink and blue cupcake pattern, looks upward and speaks against a black background with a white tree illustration	
new	pilot_m3	openvid__qbsmhHO950_5_121to392	B	synth_endpoints	class_word:illustration	…plain black background with a faint graphic «illustration» in the corner	a young woman with glasses and long braided hair wearing a colorful patterned top speaking against a plain black background with a faint graphic illustration in the corner	
new	pilot_m3	openvid__vGh-6Ms-io_26_19to219	A	synth_endpoints	class_word:set	…tes a white sewing machine on a white table «set» with a black-and-white checkered fabric, fr…	A blonde woman in a light green shirt operates a white sewing machine on a white table set with a black-and-white checkered fabric, framed against a soft pink and white grid background in a brightly lit room	
new	pilot_m3	vcbench_animal_2430774_3840x2160	A	synth_endpoints	class_word:water	…ht-colored sand at the edge of gentle ocean «water» under soft daylight	A juvenile seagull with mottled grey and brown feathers pecks at the wet, light-colored sand at the edge of gentle ocean water under soft daylight	
new	pilot_m3	vcbench_boat_7318821_1080x1920	A	synth_endpoints	class_word:water	…d sunlight glittering on the surface of the «water» ahead towards a distant horizon	The white wooden bow of a yacht moves forward over a calm turquoise ocean under bright sunlight, with silver metal railings framing the front of the vessel and sunlight glittering on the surface of the water ahead towards a distant horizon	
new	pilot_m3	vcbench_boat_7318821_1080x1920	B	synth_endpoints	class_word:water	…sailing forward across calm, turquoise open «water» under bright sunlight	a first-person perspective of the bow of a wooden yacht with metal handrails sailing forward across calm, turquoise open water under bright sunlight	
new	pilot_m3	vcbench_coast_33754706_2160x3840	A	synth_endpoints	class_word:water	…at loaded with orange buoys sits in a green «water» harbor alongside other small boats, while s…	A blue fishing boat loaded with orange buoys sits in a green water harbor alongside other small boats, while steep rocky cliffs covered with green bushes rise up behind them under soft daylight	
new	pilot_m3	vcbench_library_4860895_4096x2160	B	synth_endpoints	shader_escape:box	a person holding a white rectangular «box» with both hands near a wooden bookshelf fil…	a person holding a white rectangular box with both hands near a wooden bookshelf filled with colorful books, shot in bright natural light in a close-up angle	
new	pilot_m3	vcbench_robot_8327799_3840x2160	B	synth_endpoints	shader_escape:chessboard	…d and glasses wearing a suit leaning over a «chessboard» to move a wooden piece on a wooden table ag…	an elderly man with a long white beard and glasses wearing a suit leaning over a chessboard to move a wooden piece on a wooden table against a black background	
new	pilot_m3	vcbench_talk_4146196_3840x2160	A	synth_endpoints	shader_escape:box	…cks to eat noodles from a cardboard takeout «box», wearing a light blue denim shirt over a wh…	A woman with curly light brown hair and black-framed glasses uses chopsticks to eat noodles from a cardboard takeout box, wearing a light blue denim shirt over a white top in a brightly lit indoor space	
new	pilot_m3	vcbench_tulip_10536489_4096x2160	A	synth_endpoints	class_word:petals	… clear glass jar filled with soft pink rose «petals» sits outdoors in bright natural light, fram…	A clear glass jar filled with soft pink rose petals sits outdoors in bright natural light, framed by blurred green foliage in the background and a sprig of eucalyptus leaves reaching in from the upper right	
new	pilot_m3	vcbench_tulip_10536489_4096x2160	B	synth_endpoints	class_word:petals	… clear glass jar filled with soft pink rose «petals» resting outdoors against a soft, blurred ba…	a close-up shot of a clear glass jar filled with soft pink rose petals resting outdoors against a soft, blurred background of yellow wildflowers under natural daylight	
new	pilot_m3	vcbench_vegetable_853790_1920x1080	A	synth_endpoints	shader_escape:box	… fresh green herbs arranged behind a wooden «box» in a brightly lit outdoor market with color…	A man wearing a grey short-sleeved t-shirt reaches toward a pile of fresh green herbs arranged behind a wooden box in a brightly lit outdoor market with colorful blurred stalls in the background	
new	pilot_m3_round2	davis_horsejump-high	A	synth_endpoints	class_word:jump	…nding in a sandy arena with white and green «jump» obstacles under a bright blue sky with whit…	A female rider with a dark helmet, wearing a white shirt, a black vest, and white pants, sits on a brown horse, standing in a sandy arena with white and green jump obstacles under a bright blue sky with white clouds	
new	pilot_m3_round2	davis_mbike-trick	B	synth_endpoints	class_word:smoke	…inning the rear tire to produce thick white «smoke» on an asphalt surface under bright daylight	a person in a white graphic t-shirt, dark trousers, and black sneakers, sitting on a dark green motorcycle and spinning the rear tire to produce thick white smoke on an asphalt surface under bright daylight	
new	pilot_m3_round2	humanvid_12331340	B	humanvid	drift:faded	a bald man wearing silver headphones and a «faded» gray t-shirt over a long-sleeved black shir…	a bald man wearing silver headphones and a faded gray t-shirt over a long-sleeved black shirt, looking down at a paper in a dimly lit soundproof room	
new	pilot_m3_round2	humanvid_3805742	A	humanvid	class_word:smoke	… in profile while exhaling a plume of white «smoke» in a sunlit room filled with wooden beams a…	An older man with curly gray hair, wearing a black collared shirt, sits in profile while exhaling a plume of white smoke in a sunlit room filled with wooden beams and warm light	
new	pilot_m3_round2	humanvid_6898098	A	humanvid	shader_escape:box	… sofa while opening a small brown cardboard «box» stack in a dimly lit room with soft warm li…	A dark-skinned woman with braided black hair, wearing a white long-sleeved shirt and blue pants, sits cross-legged on a gray sofa while opening a small brown cardboard box stack in a dimly lit room with soft warm lighting	
new	pilot_m3_round2	humanvid_6898098	B	humanvid	shader_escape:box	…t and blue pants, opening a brown cardboard «box» while sitting cross-legged on a dark green …	a smiling dark-skinned woman with long braided hair wearing a white long-sleeve shirt and blue pants, opening a brown cardboard box while sitting cross-legged on a dark green couch in a softly lit room	
new	pilot_m3_round2	humanvid_8189502	B	humanvid	class_word:set	… strumming a brown acoustic guitar indoors, «set» against a light gray wood-paneled wall with…	a woman with long black braids in a white long-sleeved shirt and black overalls, sitting cross-legged while strumming a brown acoustic guitar indoors, set against a light gray wood-paneled wall with soft natural lighting from the side	
new	pilot_m3_round2	humanvid_9039061	A	humanvid	class_word:water	…gged outdoors near a grey building and dark «water» under soft overcast lighting	A woman with long blonde hair, wearing a tan short-sleeved t-shirt and white drawstring pants, sits cross-legged outdoors near a grey building and dark water under soft overcast lighting	
new	pilot_m3_round2	humanvid_9039061	B	humanvid	class_word:water	…her body against a soft-focus background of «water» and buildings	a fair-skinned woman with blonde hair wearing a beige t-shirt and white pants, sitting outdoors in a cross-legged position with her hand raised in front of her body against a soft-focus background of water and buildings	
new	pilot_m3_round2	humanvid_9807743	B	humanvid	shader_escape:static	…topped with a glowing television displaying «static»	a young man with slicked dark hair in a black sweater vest with white trim over a beige sweater, looking forward while sitting on the floor in front of a wooden cabinet topped with a glowing television displaying static	
new	pilot_m3_round2	openvid_RlN2dYjH4_E_3_0to160	B	synth_endpoints	class_word:set	…erson holds an open book in the foreground, «set» against white tiled walls with a stainless …	a light-skinned man with short brown hair and a receding hairline wearing a beige graphic t-shirt, standing indoors and gesturing while talking as another person holds an open book in the foreground, set against white tiled walls with a stainless steel range hood and kitchen utensils in bright even lighting	
new	pilot_m3_round2	openvid_Rv5tq_kWjRE_23_0to288	B	synth_endpoints	class_word:set	…al light in front of a stained-glass window «set» into a dark wooden wall	a fair-skinned man with a red beard, aviator glasses, and a gray flat cap in an orange polo shirt, talking while looking directly at the camera outdoors in natural light in front of a stained-glass window set into a dark wooden wall	
new	pilot_m3_round2	openvid_SyGOidmxV_E_4_0to163	A	synth_endpoints	class_word:water	…icrophone on a sunny beach near bright blue «water»	A man with short brown hair, wearing a white short-sleeved patterned shirt with sunglasses hooked on his collar, speaks while holding a black microphone on a sunny beach near bright blue water	
new	pilot_m3_round2	openvid_SyGOidmxV_E_4_0to163	B	synth_endpoints	class_word:water	…phone on a sunny beach with clear turquoise «water»	a smiling young man with short brown hair in a patterned white short-sleeved shirt, speaking into a black microphone on a sunny beach with clear turquoise water	
new	pilot_m3_round2	openvid_XFSw6t7SP00_79_0to109	B	synth_endpoints	drift:shift,drift:shifter	…-skinned hand gripping a black leather gear «shifter» with a silver-rimmed top in a car interior,… | …-skinned hand gripping a black leather gear «shifter» with a silver-rimmed top in a car interior,…	a fair-skinned hand gripping a black leather gear shifter with a silver-rimmed top in a car interior, pulling the gear shift backward beside a silver start-engine button under soft indoor lighting	
new	pilot_m3_round2	openvid__nLdQ5vZP5c_6_0to148	A	synth_endpoints	class_word:water	…balcony against a glass building, a body of «water», and bright daylight	A bearded man with short brown hair, wearing a dark cap, a dark blue jacket, and a red shirt, speaks directly while standing on an outdoor balcony against a glass building, a body of water, and bright daylight	
new	pilot_m3_round2	openvid__nLdQ5vZP5c_6_0to148	B	synth_endpoints	class_word:water	…nt of a modern glass building and a body of «water» under overcast light	a man with a dark gray flat cap and short brown hair wearing a dark blue Columbia puffer jacket over a red shirt, gesturing with his hand in front of a modern glass building and a body of water under overcast light	
new	pilot_m3_round2	openvid__oppseM4TZU_0_0to176	B	synth_endpoints	class_word:set	…gether while smiling on a dark studio stage «set» with blurred city lights in the background	a man with short brown hair in a dark blue suit jacket and dark patterned tie, resting his fingertips together while smiling on a dark studio stage set with blurred city lights in the background	
new	pilot_m3_round2	vcbench_animal_2430774_3840x2160	A	synth_endpoints	class_word:water	…and webbed feet, dips its beak into shallow «water» along a wet sand beach illuminated by soft …	A young seagull with speckled brown and white feathers, featuring a grey beak and webbed feet, dips its beak into shallow water along a wet sand beach illuminated by soft grey daylight	
new	pilot_m3_round2	vcbench_animal_2430774_3840x2160	B	synth_endpoints	class_word:water	…gray and brown feathers standing in shallow «water», resting on a flat sandy beach under soft o…	a juvenile seagull with mottled gray and brown feathers standing in shallow water, resting on a flat sandy beach under soft overcast light	
new	pilot_m3_round2	vcbench_boat_7318821_1080x1920	A	synth_endpoints	class_word:water	… sky filled with sunlight reflecting on the «water» surface	A white boat bow with silver metal handrails and a white fender attached to the railing points forward across a calm blue sea under a bright hazy sky filled with sunlight reflecting on the water surface	
new	pilot_m3_round2	vcbench_coast_33754706_2160x3840	A	synth_endpoints	class_word:water	…stacked on its stern sits anchored in green «water», near a sandy beach and a steep cliff cover…	A blue and grey boat with orange floats stacked on its stern sits anchored in green water, near a sandy beach and a steep cliff covered in green vegetation under bright daytime light	
new	pilot_m3_round2	vcbench_coast_33754706_2160x3840	B	synth_endpoints	class_word:water	…bright orange buoys, floating in calm green «water» near a sandy beach and steep rocky cliffs u…	a rear view of a blue fishing boat loaded with bright orange buoys, floating in calm green water near a sandy beach and steep rocky cliffs under direct daylight	
new	pilot_m3_round2	vcbench_library_4860895_4096x2160	B	synth_endpoints	shader_escape:box	…ht skin holding a white rectangular product «box» in front of a white wooden bookshelf with r…	a person with light skin holding a white rectangular product box in front of a white wooden bookshelf with red and gray books, adjusting the box near a bright window bathed in soft natural light	
new	pilot_m3_round2	vcbench_robot_8327799_3840x2160	B	synth_endpoints	class_word:set,shader_escape:chessboard	…oving a wooden piece on a wooden chessboard «set» on a table against a solid black background | …te shirt, moving a wooden piece on a wooden «chessboard» set on a table against a solid black backgr…	an elderly man with short white hair, a long white beard, and round glasses wearing a dark gray blazer over a white shirt, moving a wooden piece on a wooden chessboard set on a table against a solid black background	
new	pilot_m3_round2	vcbench_sunset_1686791_1080x1920	B	synth_endpoints	class_word:flying	…ne wing silhouetted against a gradient sky, «flying» over clouds during a bright orange and yell…	a dark airplane wing silhouetted against a gradient sky, flying over clouds during a bright orange and yellow sunset	
new	pilot_m3_round2	vcbench_tulip_10536489_4096x2160	A	synth_endpoints	class_word:petals	… clear glass jar filled with soft pink rose «petals» sits outdoors against a blurred green and y…	A clear glass jar filled with soft pink rose petals sits outdoors against a blurred green and yellow background bathed in bright natural daylight	
new	pilot_m3_round2	vcbench_tulip_10536489_4096x2160	B	synth_endpoints	class_word:petals	… clear glass jar filled with pale pink rose «petals», resting outdoors against a soft-focused gr…	a clear glass jar filled with pale pink rose petals, resting outdoors against a soft-focused green and yellow natural background in bright daylight	
